ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0051960,regulation of nervous system development,58/1296,468/18888,8.63839584484475e-06,0.000311321011035777,0.000225840414244307,TPBG/BHLHE40/MME/SEMA4C/BTG2/NTRK2/SEMA3D/NOG/NEURL1/HEY1/KIAA0319/LRRN3/ASCL2/KIT/CYSLTR1/SLIT2/LYN/IL1RAP/TRAK1/TNR/BHLHE41/BMPR2/FN1/WNT2/GPER1/LRRTM2/PTPRD/PARP6/ASPA/CX3CR1/CTSC/NIN/EPHB3/FLRT3/CAPRIN2/SRPX2/VEGFC/SEMA6A/L1CAM/LIG4/SEMA6D/HAPLN1/MIR221/PLAG1/VEGFA/NCMAP/RARB/LEF1/SKIL/TGFB1/LRP8/MIR181B1/CDKL5/PTPN13/SPP1/IL33/LDLR/SEMA5A,58
BP,GO:0018212,peptidyl-tyrosine modification,39/1296,271/18888,8.84950576334549e-06,0.000316858277786279,0.000229857292554428,FLT1/LEP/ERRFI1/NEDD9/PLPP3/SFRP1/ITGA5/IGF1/PRKCE/MIF/KIT/EFNA1/LYN/CSH2/EPHA1/FGF10/ENPP2/BMP6/KITLG/VTN/DDR1/INPP5F/PDGFC/CD4/GPRC5A/DDR2/MIR221/EPHA3/FGF7/VEGFA/ANGPT1/HCK/SPINK1/NOX4/TGFB1/PDGFRA/LRP8/PDGFD/GHR,39
BP,GO:0034109,homotypic cell-cell adhesion,20/1296,98/18888,9.114886032875e-06,0.000324254719904986,0.000235222865364516,PIK3CB/DSP/PLPP3/ANK3/PTPRU/LYN/PRKG1/PDPN/PIK3CG/JUP/TYRO3/UBASH3B/PRKCA/CD9/ZNF703/PLEK/FGG/PDGFRA/P2RY12/XG,20
BP,GO:0001508,action potential,26/1296,149/18888,9.32845179171871e-06,0.000327702265155166,0.000237723804972917,CALM1/NTRK2/SOD1/SCN9A/DSP/GRIK2/ANK3/ATP1A1/JUP/GPER1/NEDD4L/KCNJ5/PTPN3/SCN11A/GNA14/NRCAM/SCN7A/SLC8A1/GJA1/CACNA2D1/ABCC9/GJC1/AKAP6/ATP1B1/FGF12/NDP,26
BP,GO:0002688,regulation of leukocyte chemotaxis,23/1296,123/18888,9.34978540367749e-06,0.000327702265155166,0.000237723804972917,DUSP1/NEDD9/MIF/SLAMF1/MTUS1/SERPINE1/C5/SLIT2/LYN/NCKAP1L/AIF1/CX3CR1/VEGFC/CSF1/C3AR1/MPP1/CMKLR1/MIR223/VEGFA/CCR7/CXCL8/CCL2/EDN1,23
BP,GO:0044703,multi-organism reproductive process,32/1296,204/18888,9.45871613986319e-06,0.000327702265155166,0.000237723804972917,LEP/TLE6/SYDE1/SOD1/HSD11B2/ERRFI1/ITGA5/SLC2A1/SLC38A3/CRH/ADCY7/CLIC5/IDO1/BMPR2/CITED2/STC2/DDR1/JUNB/VDR/HSPG2/GJA1/VEGFA/PTGFR/PCSK5/HPGD/PARP1/STC1/PRL/SPP1/NDP/EDN1/EPYC,32
BP,GO:0045765,regulation of angiogenesis,47/1296,353/18888,9.52045036709958e-06,0.000327702265155166,0.000237723804972917,FLT1/SASH1/LEP/PIK3CB/ENG/HK2/PKM/SFRP1/ITGA5/EGLN1/CYBB/ECM1/SERPINE1/CYSLTR1/EFNA1/SPRED1/AQP1/FOXJ2/EPHA1/KLF4/PIK3CG/PPP1R16B/NFE2L2/RHOB/ISM1/JUP/HMOX1/CX3CR1/GLUL/ADGRA2/PRKCA/VEGFC/STAB1/SEMA6A/C3AR1/HSPG2/TGFBR2/MIR221/PTGIS/PRKD1/VEGFA/ACVRL1/CXCL8/MIR181B1/CTSH/PRL/SEMA5A,47
BP,GO:0051047,positive regulation of secretion,43/1296,312/18888,9.53439682707645e-06,0.000327702265155166,0.000237723804972917,LEP/INHA/INHBA/RAB15/ABAT/LRRC8A/HCAR2/ADAM9/RAB8B/IGF1/PRKCE/OPRK1/CRH/MIF/BAD/FRMD4A/AQP1/P2RY2/ITPR1/P2RY1/GPER1/BMP6/VSNL1/TCF7L2/VEGFC/RFX6/PTGES/SDC4/PRKD1/PLA2G10/NNAT/SPINK1/WLS/PLCB1/TLR4/FGG/TGFB1/S100A8/CD177/KMO/PRL/SPP1/EDN1,43
BP,GO:1903522,regulation of blood circulation,38/1296,262/18888,9.5683831501599e-06,0.000327702265155166,0.000237723804972917,LEP/CALM1/CYP2J2/DSP/PDE5A/SPX/APLN/ARHGAP42/CYSLTR1/ATP1A1/PIK3CG/BMPR2/JUP/RGS4/KCNJ5/DOCK5/ADRA2C/TACR3/SLC1A1/ITGA9/TBXAS1/SLC8A1/GJA1/CACNA2D1/TMEM38B/AGTR1/TBX5/ABCC9/GJC1/ATP2B1/BVES/FGG/TPM1/ATP1B1/DES/STC1/EDN1/F2R,38
BP,GO:0006874,intracellular calcium ion homeostasis,42/1296,302/18888,9.63227641887882e-06,0.000327854149220357,0.000237833985651329,PIK3CB/HEXB/ERO1A/CALM1/PKD2/SLC25A27/ANXA6/JPH2/GRIK2/PRKCE/PLCE1/GRINA/LYN/JPH1/ITPR1/P2RY1/GPER1/STC2/UBASH3B/KEL/ITPR3/HERPUD1/VDR/CORO1A/PRKD1/SLC8A1/XCR1/WFS1/TRPC6/TMEM38B/TMEM178A/CCR7/PLCB1/RGN/CCL8/AKAP6/ATP2B1/ATP1B1/STC1/ATP2C2/EDN1/F2R,42
BP,GO:0034405,response to fluid shear stress,11/1296,34/18888,9.99049536058739e-06,0.000337960683547723,0.000245165530321163,PKD2/ADAM9/MTSS1/PLEC/KLF4/NFE2L2/CITED2/MEF2C/ASS1/ABCA1/HAS2,11
BP,GO:0001890,placenta development,26/1296,150/18888,1.05601512344823e-05,0.000354772499342937,0.000257361261764916,KRT19/LEP/MME/PKD2/SOD1/HTRA1/EGLN1/HEY1/ASCL2/BMP5/BMPR2/PLAC1/CITED2/WNT2/STC2/JUNB/HSD17B2/VDR/CEBPA/NOTCH2/E2F8/LEF1/PARP1/STC1/SPP1/NDP,26
BP,GO:0008643,carbohydrate transport,27/1296,159/18888,1.06418330397008e-05,0.000354772499342937,0.000257361261764916,LEP/HK2/PIK3R1/SLC25A27/SLC45A4/SLC2A14/SLC23A2/SLC2A1/IGF1/ENPP1/MFSD4B/AQP1/PID1/SLC2A12/SLC2A3/NFE2L2/SLC17A5/SLC37A1/SGCB/MIR223/TMEM144/SLC35A3/SLC1A2/SLC35D1/SLC26A6/MFSD12/EDN1,27
BP,GO:0060349,bone morphogenesis,20/1296,99/18888,1.06953888976725e-05,0.000354772499342937,0.000257361261764916,PAPPA2/COL27A1/MMP14/BMPR2/CITED2/INSIG1/FOSL2/BMP6/BMP4/DLX5/MEF2C/TGFBR2/LTF/COL1A1/COL3A1/RARB/FREM1/HAS2/STC1/GHR,20
BP,GO:0043200,response to amino acid,23/1296,124/18888,1.07448326786853e-05,0.000354772499342937,0.000257361261764916,NTRK2/DNMT3A/NEURL1/GCLM/CPEB4/CYBB/CDO1/LYN/PDGFC/COL6A1/COL1A2/AIFM1/UBR1/COL1A1/SLC1A2/COL5A2/COL3A1/ASS1/CPS1/SESN3/PDGFRA/EDN1/PDGFD,23
BP,GO:0045766,positive regulation of angiogenesis,30/1296,187/18888,1.13377666595864e-05,0.00037212169857714,0.000269946825228248,FLT1/SASH1/ENG/HK2/PKM/ITGA5/CYBB/ECM1/SERPINE1/CYSLTR1/AQP1/EPHA1/KLF4/NFE2L2/RHOB/JUP/HMOX1/CX3CR1/PRKCA/VEGFC/C3AR1/TGFBR2/PTGIS/PRKD1/VEGFA/ACVRL1/CXCL8/MIR181B1/CTSH/SEMA5A,30
BP,GO:0002062,chondrocyte differentiation,22/1296,116/18888,1.14866335745797e-05,0.00037295328664361,0.000270550080989198,RFLNB/SOX5/COL27A1/MAF/ECM1/SLC26A2/BMPR2/FOSL2/BMP6/BMP4/MEF2C/TGFBR2/SNAI2/CHST11/COL3A1/SULF2/RARB/ACVRL1/CYTL1/TWSG1/TGFB1/FGF9,22
BP,GO:0071222,cellular response to lipopolysaccharide,34/1296,225/18888,1.14983784420409e-05,0.00037295328664361,0.000270550080989198,SASH1/SCARB1/ADAM9/MAPK8/PRKCE/OPRK1/MIF/SERPINE1/IL36RN/NLRP7/LYN/CARD16/MRC1/BMP6/CX3CR1/PRKCA/MEF2C/MIR223/LTF/SPON2/CD180/HCK/PDCD1LG2/AICDA/ASS1/ABCA1/CXCL8/TLR4/LY86/CASP1/CCL2/LY96/KMO/MMP8,34
BP,GO:0060562,epithelial tube morphogenesis,45/1296,335/18888,1.16572031914478e-05,0.000375893674840017,0.000272683115589421,NPNT/ENG/SEMA4C/PKD2/NOG/MTHFD1L/SFRP1/MTSS1/BMP5/SLIT2/KLHL3/MMP14/GRHL3/GREB1L/FGF10/RHOB/CITED2/WNT2/GATA3/ASB2/BMP4/RDH10/TCF21/DDR1/CSF1/PRICKLE1/MEF2C/VDR/CTSZ/PBX1/RSPO2/SDC4/TGFBR2/GJA1/VEGFA/LGR5/PRKACB/PODXL/NOTCH2/ACVRL1/LEF1/TGFB1/CTSH/EDN1/TACSTD2,45
BP,GO:0007596,blood coagulation,34/1296,226/18888,1.26606168697611e-05,0.000405875822208504,0.00029443295045956,PROCR/PIK3CB/F13A1/SERPINE1/LYN/PRKG1/PDPN/PIK3CG/NFE2L2/P2RY1/TYRO3/VAV1/ST3GAL4/VTN/UBASH3B/PRKCA/ADRA2C/TXK/PROS1/CD9/SERPING1/COL3A1/PLEK/FAP/PAPSS2/TLR4/F5/FCER1G/FGG/PDGFRA/P2RY12/SELP/EDN1/F2R,34
BP,GO:0016049,cell growth,60/1296,496/18888,1.28465440689562e-05,0.000409455745642917,0.000297029920669508,INHBA/BCL6/SEMA4C/TRIM40/KRT17/SEMA3D/PAPPA2/SLC23A2/SFRP1/POSTN/IGF1/ENPP1/RAPH1/KIAA0319/SLIT2/LAMB2/PRKG1/MMP14/TNR/BMPR2/FRZB/MAD2L2/FN1/NEDD4L/RGS4/C9orf72/NIN/DDR1/FLRT3/CAPRIN2/FXN/PRICKLE1/SEMA6A/CRYAB/NRCAM/L1CAM/TGFBR2/SEMA6D/TSPYL2/GJA1/MEIS1/VEGFA/TAF9B/AGTR1/ACVRL1/SLIT3/IGFBP4/RERG/AKAP6/MYOCD/TGFB1/S100A8/NRP2/ALCAM/CDKL5/SPP1/IGFBP1/NRN1/EDN1/SEMA5A,60
BP,GO:0015718,monocarboxylic acid transport,29/1296,179/18888,1.30157984044249e-05,0.000412466163229879,0.000299213756423561,LEP/SLC6A8/SLCO2A1/PLIN2/ABCD3/SLC16A10/ABCG2/SLC16A3/SLCO2B1/SPX/SLC2A1/MIF/SLC16A1/SLCO4A1/SLC17A5/SLC27A2/SLC16A4/SLC22A3/FABP4/PTGES/ABCC2/RBP7/PLA2G10/SLC5A12/EMB/NMUR2/SLC26A6/SLC16A12/EDN1,29
BP,GO:0035296,regulation of tube diameter,26/1296,152/18888,1.3477339923345e-05,0.000421476781144372,0.000305750294627764,LEP/SOD1/GCLM/ARHGAP42/CYSLTR1/PRKG1/P2RY2/GUCY1A1/BMPR2/P2RY1/GPER1/DOCK5/KEL/ADRA2C/ITGA9/TBXAS1/SLC8A1/AGTR1/NTS/ADRB3/CPS1/ATP2B1/FGG/ACTA2/EDN1/F2R,26
BP,GO:0097746,blood vessel diameter maintenance,26/1296,152/18888,1.3477339923345e-05,0.000421476781144372,0.000305750294627764,LEP/SOD1/GCLM/ARHGAP42/CYSLTR1/PRKG1/P2RY2/GUCY1A1/BMPR2/P2RY1/GPER1/DOCK5/KEL/ADRA2C/ITGA9/TBXAS1/SLC8A1/AGTR1/NTS/ADRB3/CPS1/ATP2B1/FGG/ACTA2/EDN1/F2R,26
BP,GO:0051235,maintenance of location,45/1296,337/18888,1.35845279108678e-05,0.000421476781144372,0.000305750294627764,LEP/HEXB/ERO1A/CALM1/PKD2/HK2/HILPDA/PLIN2/SCARB1/FBN2/NRIP1/PISD/ANXA6/JPH2/LTBP1/ANK3/PRKCE/ENPP1/PLCE1/NPC1/LYN/JPH1/ITPR1/SUN2/GPER1/INSIG1/OSBPL11/UBASH3B/ITPR3/CD4/CORO1A/PRKD1/PLA2G10/SLC8A1/XCR1/TMEM38B/CCR7/ABCA1/PLCB1/BDH2/AKAP6/S100A8/MORC3/KDELR3/F2R,45
BP,GO:0043542,endothelial cell migration,40/1296,286/18888,1.36058881109355e-05,0.000421476781144372,0.000305750294627764,SASH1/PIK3CB/SCARB1/PLPP3/HDAC9/SLIT2/EFNA1/SPRED1/KLF4/PIK3CG/NFE2L2/RHOB/ZEB2/JUP/GATA3/HMOX1/GLUL/ADGRA2/S100A12/PRKCA/SRPX2/VEGFC/MEF2C/MIR320A/MIR221/PRKD1/EPHB4/MEOX2/VEGFA/ANGPT1/SNAI2/CDH13/FAP/ACVRL1/DNAJA4/TGFB1/NRP2/STC1/EDN1/SEMA5A,40
BP,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,43/1296,317/18888,1.4206363755723e-05,0.000437619495804787,0.00031746064258599,FSTL3/HTRA4/NPNT/INHBA/ENG/TSC22D1/NOG/FBN2/HTRA1/SFRP1/LTBP1/KIAA0319/GREM2/FKBP8/BMP5/SPRED1/PMEPA1/MTMR4/BMPR2/FGF10/CITED2/ZEB2/BMP6/BMP4/RASL11B/TGFBR2/ZNF703/GPR155/CHST11/NOTCH2/ACVRL1/MYOCD/TWSG1/BAMBI/SKIL/TGFB1/MIR181A2/FGF9/PARP1/LOX/NREP/CHRDL1/CDH3,43
BP,GO:0030879,mammary gland development,24/1296,135/18888,1.47165254746918e-05,0.000450816230374725,0.000327033899437595,HK2/NEURL1/APLN/CDO1/NCOR2/FGF10/CCND1/WNT2/GATA3/BMP4/DDR1/ELF3/CSF1/VDR/TGFBR2/LBH/GJA1/VEGFA/ZNF703/OAS2/XDH/LEF1/PRL/ATP2C2,24
BP,GO:0050867,positive regulation of cell activation,49/1296,380/18888,1.48712691951323e-05,0.00045172432805608,0.000327692657276808,LEP/EFNB1/BCL6/CD28/VTCN1/IGF1/MIF/BAD/SLAMF1/DOCK8/LYN/MMP14/EBI3/NCKAP1L/FGF10/MAD2L2/AIF1/GATA3/VAV1/KITLG/CTSC/VSIR/MEF2C/NFATC2/MAP3K8/CD4/CEBPA/TGFBR2/CORO1A/DDR2/CLEC4D/PDCD1LG2/CCR7/PNP/PLEK/CR1/TLR4/VNN1/PELI1/CCL2/IL2RG/LEF1/TGFB1/SELP/MMP8/GPR183/VCAM1/IL33/ACTA2,49
BP,GO:0050886,endocrine process,19/1296,93/18888,1.49100159060948e-05,0.00045172432805608,0.000327692657276808,LEP/INHA/INHBA/TRPV6/HSD11B2/HCAR2/RAB8B/OPRK1/CRH/AQP1/GATA3/BMP6/CTSZ/GJA1/AGTR1/PCSK5/SPP1/EDN1/F2R,19
BP,GO:0035150,regulation of tube size,26/1296,153/18888,1.51948015815195e-05,0.000457836808308735,0.000332126810525017,LEP/SOD1/GCLM/ARHGAP42/CYSLTR1/PRKG1/P2RY2/GUCY1A1/BMPR2/P2RY1/GPER1/DOCK5/KEL/ADRA2C/ITGA9/TBXAS1/SLC8A1/AGTR1/NTS/ADRB3/CPS1/ATP2B1/FGG/ACTA2/EDN1/F2R,26
BP,GO:0071219,cellular response to molecule of bacterial origin,35/1296,238/18888,1.5690611089772e-05,0.000470206682331536,0.000341100241081999,SASH1/SCARB1/ADAM9/MAPK8/PRKCE/OPRK1/MIF/SERPINE1/IL36RN/NLRP7/LYN/CARD16/MRC1/BMP6/CX3CR1/PRKCA/MEF2C/MIR223/LTF/SPON2/CD180/HCK/PDCD1LG2/AICDA/ASS1/ABCA1/CXCL8/TLR4/LY86/TLR1/CASP1/CCL2/LY96/KMO/MMP8,35
BP,GO:0003206,cardiac chamber morphogenesis,23/1296,127/18888,1.61337782407771e-05,0.000479506620495385,0.00034784665977177,ENG/NOG/DSP/FHL2/EGLN1/HEY1/BMP5/SLIT2/DNAH11/BMPR2/CITED2/WNT2/GATA3/BMP4/MEF2C/TGFBR2/TBX5/NOTCH2/SLIT3/TGFB1/TPM1/NRP2/HEG1,23
BP,GO:0042129,regulation of T cell proliferation,29/1296,181/18888,1.61748696793873e-05,0.000479506620495385,0.00034784665977177,LEP/EFNB1/BCL6/CD28/PDE5A/VTCN1/IGF1/SLAMF1/IDO1/EBI3/NCKAP1L/AIF1/SH3RF1/KITLG/BMP4/LRRC32/VSIR/SDC4/TGFBR2/CORO1A/VSIG4/PDCD1LG2/PNP/CLC/CR1/TWSG1/PELI1/VCAM1/ARG2,29
BP,GO:0006575,cellular modified amino acid metabolic process,30/1296,191/18888,1.73106471113167e-05,0.000506708634522698,0.000367579713110409,P4HA1/DIO2/SLC6A8/SOD1/PLOD2/SLC16A10/EGLN3/GCLM/MTHFD1L/GSTA3/EGLN1/HPGDS/ALDH4A1/NFE2L2/GSTK1/GATA3/SLC1A1/VNN2/GSTA4/PLA2G10/GCNT4/SLC1A2/ASS1/SULT1B1/VNN1/GSR/IDH1/GATM/NDP/GSTM3,30
BP,GO:0050848,regulation of calcium-mediated signaling,19/1296,94/18888,1.75008425805938e-05,0.000506708634522698,0.000367579713110409,CALM1/FHL2/RCAN1/IGF1/ITPR1/JPT2/CA8/CD4/CMKLR1/MYOZ1/CDH13/PLEK/NMUR2/RGN/AKAP6/PDK2/CALCR/PDGFRA/EDN1,19
BP,GO:1903707,negative regulation of hemopoiesis,22/1296,119/18888,1.75025045352826e-05,0.000506708634522698,0.000367579713110409,FSTL3/INHA/INHBA/BCL6/TSC22D1/PIK3R1/SFRP1/HMGB3/ASCL2/LYN/TMEM176B/TMEM176A/BMP4/UBASH3B/CEBPA/MIR221/LTF/SNAI2/TMEM178A/CR1/TLR4/FGL2,22
BP,GO:0050727,regulation of inflammatory response,53/1296,425/18888,1.75375708006991e-05,0.000506708634522698,0.000367579713110409,BCL6/SOD1/GPR17/PIK3AP1/SELE/CD28/IGF1/TLR7/SERPINE1/CD200R1/ARMH4/NLRP7/LYN/CARD16/KLF4/PIK3CG/IDO1/USP18/GATA3/TYRO3/GPER1/NLRP2/CTSC/ELF4/S100A12/FURIN/NR1D2/CASP4/FABP4/PTGES/CEBPA/MIR223/MIR221/PTGIS/PLA2G10/LACC1/HCK/CCR7/AGTR1/TLR4/TRIM45/CASP1/OSMR/NAIP/TGFB1/S100A8/NT5E/AOAH/MIR181A2/MIR181B1/MMP8/IL33/LDLR,53
BP,GO:0048678,response to axon injury,18/1296,86/18888,1.7551931301022e-05,0.000506708634522698,0.000367579713110409,SOD1/KIAA0319/LYN/MATN2/LAMB2/KLF4/TNR/STK24/FLRT3/INPP5F/SLC1A1/MIR221/GAP43/DPYSL3/P2RY12/SPP1/NREP/NDP,18
BP,GO:0046777,protein autophosphorylation,30/1296,192/18888,1.91956295119639e-05,0.000549811907079112,0.000398847955806393,FLT1/CALM1/NTRK2/ERRFI1/MKNK1/ENPP1/NEK6/KIT/BMX/LYN/PIKFYVE/EPHA1/TOM1L1/STK24/TYRO3/MAP3K9/DDR1/EPHB3/VEGFC/PDGFC/TXK/DDR2/STK17B/PRKD1/EPHB4/VEGFA/HCK/PDGFRA/CDKL5/PDGFD,30
BP,GO:0032946,positive regulation of mononuclear cell proliferation,25/1296,146/18888,1.92444138676584e-05,0.000549811907079112,0.000398847955806393,LEP/EFNB1/BCL6/CD28/VTCN1/IGF1/MIF/SLAMF1/EBI3/NCKAP1L/FGF10/AIF1/KITLG/ST6GAL1/CSF1/MEF2C/NFATC2/TGFBR2/CORO1A/PDCD1LG2/PNP/TLR4/PELI1/GPR183/VCAM1,25
BP,GO:0070167,regulation of biomineral tissue development,20/1296,103/18888,1.9783337884622e-05,0.000562295490184567,0.000407903873909733,FBN2/RFLNB/KL/ECM1/ENPP1/HEY1/BMPR2/BMP6/BMP4/MEF2C/VDR/NOTUM/ODAPH/DDR2/LTF/SLC8A1/GJA1/ANKH/ATP2B1/TGFB1,20
BP,GO:0050817,coagulation,34/1296,231/18888,2.02566699459108e-05,0.00057279629785514,0.000415521434787915,PROCR/PIK3CB/F13A1/SERPINE1/LYN/PRKG1/PDPN/PIK3CG/NFE2L2/P2RY1/TYRO3/VAV1/ST3GAL4/VTN/UBASH3B/PRKCA/ADRA2C/TXK/PROS1/CD9/SERPING1/COL3A1/PLEK/FAP/PAPSS2/TLR4/F5/FCER1G/FGG/PDGFRA/P2RY12/SELP/EDN1/F2R,34
BP,GO:0048660,regulation of smooth muscle cell proliferation,28/1296,174/18888,2.07189155522735e-05,0.000582878063036919,0.000422835011270888,PIK3R1/APLN/IGF1/FOXJ2/PRKG1/KLF4/BMPR2/AIF1/GPER1/HMOX1/BMP4/TCF7L2/MEF2C/MIR223/DDR2/MIR221/GJA1/CDH13/NDRG2/TLR4/MYOCD/TGFB1/TPM1/HPGD/FGF9/CALCRL/EDN1/PDGFD,28
BP,GO:0051147,regulation of muscle cell differentiation,27/1296,165/18888,2.12624276868447e-05,0.000595132113021634,0.000431724420037456,ENG/LAMA2/IGF1/HEY1/LAMC1/HDAC9/KIT/LAMB2/MMP14/BHLHE41/BMPR2/GPER1/RGS4/BMP4/MEF2C/NFATC2/OLFM2/MIR221/PRKD1/ARRB2/NOTCH2/AKAP6/MYOCD/LAMB1/TGFB1/FGF9/EDN1,27
BP,GO:0031663,lipopolysaccharide-mediated signaling pathway,14/1296,57/18888,2.2495142251584e-05,0.0006233076099258,0.000452163663348422,SASH1/SCARB1/PRKCE/MIF/LYN/CARD16/BMP6/PRKCA/LTF/CD180/HCK/TLR4/LY86/LY96,14
BP,GO:0060986,endocrine hormone secretion,14/1296,57/18888,2.2495142251584e-05,0.0006233076099258,0.000452163663348422,LEP/INHA/INHBA/TRPV6/HCAR2/RAB8B/OPRK1/CRH/AQP1/GATA3/BMP6/GJA1/AGTR1/SPP1,14
BP,GO:0014911,positive regulation of smooth muscle cell migration,13/1296,50/18888,2.27966282781361e-05,0.000628503041628214,0.000455932565562723,POSTN/IGF1/AIF1/VTN/DOCK5/SEMA6D/DDR2/MIR221/TLR4/LPAR1/HAS2/FGF9/PDGFD,13
BP,GO:0033674,positive regulation of kinase activity,41/1296,303/18888,2.36387998842028e-05,0.000648479316226339,0.000470423878292593,FLT1/SASH1/LEP/CALM1/NTRK2/NEDD9/ADAM9/IGF1/BAD/KIT/EFNA1/EPHA1/PIK3CG/TOM1L1/CCND2/CCND1/TYRO3/SNX9/S100A12/DDR1/PDGFC/CSF1/ADRA2C/CD4/TGFBR2/DDR2/LTF/EPHB4/VEGFA/ANGPT1/MMD/SLC11A1/CCR7/LCP2/TLR4/NOX4/PDGFRA/LRP8/EDN1/PDGFD/GHR,41
BP,GO:0007599,hemostasis,34/1296,233/18888,2.43191842421127e-05,0.000663841494608958,0.000481568004794311,PROCR/PIK3CB/F13A1/SERPINE1/LYN/PRKG1/PDPN/PIK3CG/NFE2L2/P2RY1/TYRO3/VAV1/ST3GAL4/VTN/UBASH3B/PRKCA/ADRA2C/TXK/PROS1/CD9/SERPING1/COL3A1/PLEK/FAP/PAPSS2/TLR4/F5/FCER1G/FGG/PDGFRA/P2RY12/SELP/EDN1/F2R,34
BP,GO:0055001,muscle cell development,31/1296,204/18888,2.46219290674049e-05,0.000668794664422024,0.000485161163889752,KRT19/ENG/FHL2/RCAN1/IGF1/SYNPO2L/PLEC/HDAC9/ALPK3/PRKG1/RGS4/ASB2/BMP4/SGCB/NEBL/KEL/PRICKLE1/COL6A1/NFATC2/PRKD1/SLC8A1/MEIS1/VEGFA/MYOZ1/TBX5/AKAP6/BVES/TPM1/PDGFRA/LOX/EDN1,31
BP,GO:0052547,regulation of peptidase activity,41/1296,304/18888,2.55549013100484e-05,0.00069073395011572,0.000501076496275459,SERPINA3/CAST/PRSS22/EGLN3/GAPDH/SERPINB9/ECM1/BAD/SERPINE1/EFNA1/TIMP3/AQP1/LYN/CARD16/KLF4/PMAIP1/GPER1/SH3RF1/NLRP2/VTN/ACER2/FURIN/VSIR/TNFSF10/AIFM1/LTF/VEGFA/SERPING1/UACA/CR1/SERPINI1/CASP1/SERPINB10/XDH/NAIP/S100A8/LAPTM5/CTSV/CTSH/CSTA/F2R,41
BP,GO:0022409,positive regulation of cell-cell adhesion,43/1296,325/18888,2.62178080257835e-05,0.0007018967454463,0.000509174280338266,FSTL3/LEP/EFNB1/BCL6/SELE/CD28/VTCN1/PLPP3/IGF1/ANK3/BAD/SLAMF1/DOCK8/PTPRU/LYN/PDPN/EBI3/NCKAP1L/AIF1/CITED2/GATA3/VAV1/ST3GAL4/KITLG/VSIR/MAP3K8/CD4/TGFBR2/CORO1A/PDCD1LG2/CCR7/PODXL/PNP/CR1/VNN1/CCL2/FGG/HAS2/IL2RG/GCNT1/LEF1/SELP/VCAM1,43
BP,GO:0045471,response to ethanol,22/1296,122/18888,2.62224754374207e-05,0.0007018967454463,0.000509174280338266,LEP/SOD1/ABAT/DNMT3A/SLC23A2/PRKCE/OPRK1/CRH/CYBB/CDO1/ADCY7/CLDN1/RGS4/ST6GAL1/TBXAS1/USP46/SPINK1/S100A8/HPGD/CAT/VCAM1/MAOB,22
BP,GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,20/1296,105/18888,2.65318578582518e-05,0.000705618411658718,0.000511874074471323,NPNT/INHBA/ENG/TSC22D1/KIAA0319/FKBP8/BMP5/BMPR2/CITED2/ZEB2/BMP6/BMP4/TGFBR2/NOTCH2/ACVRL1/MYOCD/TWSG1/TGFB1/FGF9/PARP1,20
BP,GO:0010594,regulation of endothelial cell migration,34/1296,234/18888,2.66174518725088e-05,0.000705618411658718,0.000511874074471323,SASH1/PIK3CB/SCARB1/PLPP3/HDAC9/SLIT2/EFNA1/SPRED1/KLF4/PIK3CG/NFE2L2/RHOB/JUP/GATA3/HMOX1/GLUL/ADGRA2/PRKCA/SRPX2/VEGFC/MEF2C/MIR320A/MIR221/PRKD1/MEOX2/VEGFA/ANGPT1/ACVRL1/DNAJA4/TGFB1/NRP2/STC1/EDN1/SEMA5A,34
BP,GO:0006865,amino acid transport,26/1296,158/18888,2.71468014055704e-05,0.000712797442620549,0.000517081931534674,LEP/SFXN3/SLC6A8/NTRK2/SLC16A10/ABAT/LRRC8A/SLC38A3/SLC1A6/PRKG1/RGS4/SLC17A5/SFXN2/SLC1A1/GJA1/SLC1A2/SLC11A1/SLC7A4/SLC38A6/SLC6A6/SLC38A4/SLC7A7/SLC1A3/KMO/MFSD12/SLC6A15,26
BP,GO:0072006,nephron development,26/1296,158/18888,2.71468014055704e-05,0.000712797442620549,0.000517081931534674,NPNT/PKD2/NOG/MTSS1/PLCE1/KLHL3/AQP1/LAMB2/GREB1L/BASP1/GATA3/BMP4/TCF21/PROM1/MEF2C/PBX1/VEGFA/ANGPT1/SULF2/PODXL/NOTCH2/PDGFRA/ACTA2/EDN1/PDGFD/TACSTD2,26
BP,GO:0002430,complement receptor mediated signaling pathway,7/1296,15/18888,2.7776310222874e-05,0.000720920789002849,0.000522974819733659,GPR32/GPR32P1/C3AR1/FPR1/CMKLR1/CR1/FPR3,7
BP,GO:0170041,non-proteinogenic amino acid metabolic process,16/1296,73/18888,2.78337964095793e-05,0.000720920789002849,0.000522974819733659,P4HA1/KYAT1/PLOD2/EGLN3/ABAT/EGLN1/ALDH4A1/IDO1/DPYD/AADAT/ASS1/CPS1/NOX4/SLC1A3/KMO/ARG2,16
BP,GO:1905521,regulation of macrophage migration,12/1296,44/18888,2.78484091508174e-05,0.000720920789002849,0.000522974819733659,MIF/SLAMF1/MTUS1/CD200R1/C5/MMP14/CX3CR1/CSF1/C3AR1/CMKLR1/CD9/P2RY12,12
